Word,count,
"0",162152,
"br",112398,
"5",69748,
"lness",67349,
"1",44603,
"good",41838,
"great",38380,
"taste",31960,
"product",30787,
"ctid",30092,
"2",29168,
"coffee",28397,
"flavor",27254,
"tea",26522,
"ename",26171,
"love",24921,
"it's",24255,
"4",24115,
"3",22893,
"food",22541,
"will",21655,
"best",17408,
"amazon",17316,
"dog",15130,
"time",14402,
"price",14375,
"buy",13581,
"better",13013,
"well",12621,
"chocolate",12590,
"i'm",12419,
"find",12127,
"eat",11817,
"bag",10775,
"sugar",10677,
"drink",10407,
"cup",10363,
"sweet",9744,
"delicious",9570,
"water",9439,
"dogs",8668,
"free",8665,
"box",8400,
"tastes",8329,
"favorite",8251,
"bought",8249,
"nice",8041,
"bit",7901,
"day",7693,
"chips",7689,
"treats",7659,
"store",7535,
"loves",7517,
"order",7389,
"mix",7327,
"recommend",7253,
"hot",7107,
"stuff",7046,
"flavors",7015,
"healthy",6863,
"quality",6824,
"snack",6785,
"treat",6591,
"6",6470,
"perfect",6426,
"brand",6410,
"organic",6292,
"bad",6247,
"small",6228,
"lot",6216,
"salt",6212,
"tasty",6192,
"add",6174,
"easy",6147,
"ingredients",6086,
"milk",6062,
"strong",5953,
"green",5951,
"years",5923,
"pack",5871,
"excellent",5771,
"cat",5768,
"fresh",5645,
"sure",5596,
"eating",5563,
"high",5547,
"hard",5467,
"products",5422,
"ordered",5396,
"chicken",5324,
"pretty",5236,
"long",5232,
"definitely",5173,
"natural",5147,
"thing",5135,
"oil",5132,
"size",5131,
"enjoy",5084,
"regular",5073,
"bags",5024,
"buying",4979,
"thought",4922,
"happy",4911,
"calories",4823,
"big",4813,
"wonderful",4766,
"low",4739,
"sauce",4693,
"cups",4682,
"fat",4680,
"tasting",4630,
"work",4606,
"package",4585,
"cookies",4583,
"shipping",4579,
"local",4532,
"dark",4524,
"real",4523,
"going",4483,
"cats",4475,
"people",4467,
"rice",4378,
"texture",4345,
"tasted",4278,
"8",4237,
"diet",4206,
"butter",4160,
"gluten",4148,
"worth",4082,
"foods",4065,
"highly",4054,
"feel",4044,
"bars",4017,
"purchase",4012,
"year",3964,
"half",3952,
"expensive",3912,
"full",3899,
"dry",3866,
"10",3840,
"that's",3802,
"purchased",3791,
"smell",3781,
"coconut",3743,
"bar",3706,
"loved",3685,
"juice",3647,
"i'd",3644,
"protein",3633,
"cheese",3630,
"popcorn",3624,
"12",3614,
"they're",3594,
"amount",3580,
"fruit",3569,
"blend",3565,
"things",3516,
"grocery",3491,
"black",3481,
"brands",3465,
"stores",3462,
"family",3381,
"bottle",3379,
"received",3372,
"cereal",3343,
"review",3331,
"problem",3325,
"reviews",3301,
"morning",3294,
"case",3269,
"won't",3240,
"kind",3226,
"flavored",3204,
"large",3199,
"money",3169,
"light",3167,
"energy",3167,
"candy",3161,
"honey",3159,
"three",3153,
"yummy",3144,
"7",3142,
"days",3141,
"stars",3136,
"peanut",3121,
"you're",3114,
"health",3107,
"ginger",3086,
"fine",3076,
"company",3067,
"bitter",3029,
"oz",3008,
"top",3006,
"packaging",3004,
"works",2979,
"arrived",2977,
"disappointed",2974,
"making",2974,
"item",2968,
"meal",2956,
"deal",2926,
"months",2906,
"vanilla",2901,
"kids",2894,
"absolutely",2872,
"spicy",2838,
"corn",2837,
"ounce",2836,
"cans",2828,
"http",2818,
"white",2818,
"drinking",2808,
"variety",2800,
"breakfast",2786,
"roast",2775,
"gp",2758,
"smooth",2755,
"syrup",2746,
"extra",2741,
"href",2729,
"minutes",2706,
"pasta",2706,
"cream",2704,
"fact",2699,
"boxes",2690,
"recommended",2688,
"amazing",2666,
"prefer",2654,
"save",2641,
"teas",2628,
"times",2615,
"husband",2599,
"rich",2580,
"bread",2575,
"beans",2564,
"wasn't",2552,
"powder",2548,
"almonds",2543,
"house",2537,
"awesome",2518,
"serving",2508,
"decided",2505,
"cheaper",2503,
"quick",2502,
"pieces",2499,
"fast",2497,
"baby",2496,
"wanted",2487,
"couple",2477,
"open",2467,
"fan",2459,
"bold",2456,
"cost",2437,
"plastic",2418,
"teeth",2415,
"read",2403,
"potato",2400,
"beef",2393,
"meat",2375,
"ago",2356,
"nuts",2332,
"cookie",2332,
"started",2329,
"soft",2325,
"salty",2322,
"mouth",2316,
"jerky",2278,
"crunchy",2263,
"noodles",2259,
